id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
18303,K00F,small_airport,Broadus Airport,45.47249985,-105.4540024,3280,NA,US,US-MT,Broadus,no,00F,BDX,00F
18321,K05U,small_airport,Eureka Airport,39.60419846,-116.0049973,5954,NA,US,US-NV,Eureka,no,05U,EUE,05U
18326,K06U,small_airport,Jackpot Airport/Hayden Field,41.97600174,-114.6579971,5213,NA,US,US-NV,Jackpot,no,06U,KPT,06U
20238,K07,small_airport,Rolla Downtown Airport,37.93569946,-91.81349945,987,NA,US,US-MO,Rolla,no,K07,RLA,K07
18351,K0B8,small_airport,Elizabeth Field,41.25130081,-72.03160095,9,NA,US,US-NY,Fishers Island,no,0B8,FID,0B8
18371,K0K7,small_airport,Humboldt Municipal Airport,42.73609924,-94.24520111,1093,NA,US,US-IA,Humboldt,no,0K7,HUD,0K7
18393,K0S9,small_airport,Jefferson County International Airport,48.05379868,-122.810997,108,NA,US,US-WA,Port Townsend,no,K0S9,TWD,0S9
18397,K0V7,small_airport,Kayenta Airport,36.716444,-110.228444,5688,NA,US,US-AZ,Kayenta,no,,MVM,0V7
18451,K1B1,small_airport,Columbia County Airport,42.29130173,-73.71029663,198,NA,US,US-NY,Hudson,no,1B1,HCC,1B1
18462,K1F0,small_airport,Ardmore Downtown Executive Airport,34.14699936,-97.12270355,844,NA,US,US-OK,Ardmore,no,,AHD,1F0
18468,K1G4,small_airport,Grand Canyon West Airport,35.99039841,-113.8160019,4825,NA,US,US-AZ,Peach Springs,no,K1G4,GCW,1G4
18501,K1O2,small_airport,Lampson Field,38.99060059,-122.901001,1379,NA,US,US-CA,Lakeport,no,1O2,CKE,1O2
18504,K1O5,small_airport,Montague-Yreka Rohrer Field,41.73040009,-122.5459976,2527,NA,US,US-CA,Montague,no,K1O5,ROF,1O5
18522,K1V6,small_airport,Fremont County Airport,38.4280014,-105.1060028,5439,NA,US,US-CO,Penrose,no,,CNE,1V6
18531,K21,seaplane_base,Rouses Point Seaplane Base,44.99169922,-73.3635025,95,NA,US,US-NY,Rouses Point,no,K21,RSX,K21
18540,K23,small_airport,Cooperstown-Westville Airport,42.62919998,-74.89099884,1260,NA,US,US-NY,Cooperstown,no,KK23,COP,K23
18561,K29,small_airport,Council Airport,64.89790344,-163.7030029,85,NA,US,US-AK,Council,no,K29,CIL,K29
18578,K2F0,small_airport,Iraan Municipal Airport,30.90570068,-101.8919983,2200,NA,US,US-TX,Iraan,no,,IRB,2F0
18607,K2O1,small_airport,Gansner Field,39.943902,-120.945,3415,NA,US,US-CA,Quincy,no,,GNF,2O1
18623,K2S7,small_airport,Chiloquin State Airport,42.57944049,-121.8790627,4217,NA,US,US-OR,Chiloquin,no,K2S7,CHZ,2S7
18632,K2W6,small_airport,St. Mary's County Regional Airport,38.31539917,-76.55010223,142,NA,US,US-MD,California,no,,LTW,2W6
18661,K37V,small_airport,Arapahoe Municipal Airport,40.33950043,-99.90650177,2270,NA,US,US-NE,Arapahoe,no,,AHF,37V
18666,K39N,small_airport,Princeton Airport,40.39920044,-74.6588974,128,NA,US,US-NJ,Princeton/Rocky Hill,no,39N,PCT,39N
18678,K3C8,small_airport,Calverton Executive Airpark,40.9151001,-72.79190063,75,NA,US,US-NY,Calverton,no,3C8,CTO,3C8
18728,K3O9,small_airport,Grand Lake Regional Airport,36.57759857,-94.86190033,792,NA,US,US-OK,Afton,no,3O9,NRI,3O9
18737,K3S8,small_airport,Grants Pass Airport,42.510101,-123.388,1126,NA,US,US-OR,Grants Pass,no,,GTP,3S8
18742,K3TR,small_airport,Jerry Tyler Memorial Airport,41.83589935,-86.22519684,750,NA,US,US-MI,Niles,no,3TR,NLE,3TR
18750,K3W7,small_airport,Grand Coulee Dam Airport,47.92200089,-119.0830002,1588,NA,US,US-WA,Electric City,no,3W7,GCD,3W7
18756,K40G,small_airport,Valle Airport,35.65060043,-112.1480026,5999,NA,US,US-AZ,Grand Canyon,no,40G,VLE,40G
18757,K40J,small_airport,Perry-Foley Airport,30.0692997,-83.58059692,44,NA,US,US-FL,Perry,no,KFPY,FPY,FPY
